epoch,train_loss,val_f1
1,0.7247990767161051,0.8444444444444444
2,0.4474964174959395,0.8444444444444444
3,0.24662725627422333,0.7346938775510204
4,0.08274583725465669,0.7422680412371134
5,0.16471816154403818,0.8316831683168316
6,0.13797011888689464,0.8709677419354839
7,0.1147386452390088,0.9152542372881356
8,0.0626583428432544,0.8849557522123894
9,0.020496232124666374,0.8828828828828829
10,0.020649694371968508,0.9230769230769231
11,0.019003961455180414,0.9180327868852459
12,0.03251641182901545,0.9256198347107438
13,0.031217595872779686,0.926829268292683
14,0.025988372275605798,0.890625
15,0.033163824325634375,0.926829268292683
16,0.016505478739014104,0.9411764705882353
17,0.022989149412347212,0.9411764705882353
18,0.027086254623201158,0.9421487603305785
19,0.03083524082062973,0.9217391304347826
20,0.022338919263953965,0.9137931034482759
21,0.030318343908422522,0.9090909090909091
22,0.031237778978215322,0.9043478260869565
23,0.04986701093407141,0.9344262295081968
24,0.057037380588654846,0.8976377952755905
25,0.04560648241183824,0.9193548387096774
26,0.031818517276810274,0.9137931034482759
27,0.006073867876289619,0.9217391304347826
28,0.0023966119430648782,0.9137931034482759
29,0.001377133361529559,0.9230769230769231
30,0.004640403274808907,0.9401709401709402
31,0.0011533675149419447,0.9401709401709402
32,0.0033822942706238893,0.9482758620689655
33,0.0026857396733248606,0.9298245614035088
34,0.004372464264128616,0.957983193277311
35,0.041923282823214926,0.8888888888888888
36,0.061216914715866245,0.9047619047619048
37,0.06266270412339105,0.8837209302325582
38,0.0562152317725122,0.9285714285714286
39,0.057115556568735175,0.9137931034482759
40,0.03602622728794813,0.9203539823008849
41,0.012092539846586684,0.896551724137931
42,0.01669483000619544,0.9043478260869565
43,0.007457649665108572,0.9256198347107438
44,0.002098448794438607,0.9333333333333333
45,0.001069922481999836,0.9333333333333333
46,0.00040360367792244587,0.9411764705882353
47,0.0004886835910535107,0.9411764705882353
48,0.0005952331298936366,0.9411764705882353
49,0.0001880189908357958,0.9411764705882353
50,0.00027957088928410993,0.9411764705882353
